scenario,year,analysis,region,sector,indicator,value,unit
baseline,2011,hotspot,España,Agricultura y pesca,output,104429.59232231394,M€
baseline,2011,hotspot,España,Agricultura y pesca,value_added,36121.51652594879,M€
baseline,2011,hotspot,España,Agricultura y pesca,employment,1879.732661801651,kpersonas
baseline,2011,hotspot,España,Agricultura y pesca,co2eq,3.449624219191845,Mt CO₂eq
baseline,2011,hotspot,España,Agricultura y pesca,materials,0.25766027598875446,Mt
baseline,2011,hotspot,España,Agricultura y pesca,energy,19048.831589145644,TJ
baseline,2011,hotspot,España,Minería y extracción,output,82357.29149000367,M€
baseline,2011,hotspot,España,Minería y extracción,value_added,31862.630678410398,M€
baseline,2011,hotspot,España,Minería y extracción,employment,290.23408770603373,kpersonas
baseline,2011,hotspot,España,Minería y extracción,co2eq,2.8675481496086643,Mt CO₂eq
baseline,2011,hotspot,España,Minería y extracción,materials,0.1780669352293234,Mt
baseline,2011,hotspot,España,Minería y extracción,energy,8900.57801061231,TJ
baseline,2011,hotspot,España,Alimentación y bebidas,output,167853.43686700345,M€
baseline,2011,hotspot,España,Alimentación y bebidas,value_added,54806.818934235256,M€
baseline,2011,hotspot,España,Alimentación y bebidas,employment,538.1462354156924,kpersonas
baseline,2011,hotspot,España,Alimentación y bebidas,co2eq,6.509731006280805,Mt CO₂eq
baseline,2011,hotspot,España,Alimentación y bebidas,materials,0.379837799338632,Mt
baseline,2011,hotspot,España,Alimentación y bebidas,energy,14602.632817913738,TJ
baseline,2011,hotspot,España,Textil y calzado,output,71848.03363734928,M€
baseline,2011,hotspot,España,Textil y calzado,value_added,30786.31787586021,M€
baseline,2011,hotspot,España,Textil y calzado,employment,324.8343270804651,kpersonas
baseline,2011,hotspot,España,Textil y calzado,co2eq,1.981486455979067,Mt CO₂eq
baseline,2011,hotspot,España,Textil y calzado,materials,0.17615863102497828,Mt
baseline,2011,hotspot,España,Textil y calzado,energy,8173.868211668501,TJ
baseline,2011,hotspot,España,"Madera, papel e imprenta",output,76355.53919500225,M€
baseline,2011,hotspot,España,"Madera, papel e imprenta",value_added,31594.236912076733,M€
baseline,2011,hotspot,España,"Madera, papel e imprenta",employment,263.21666625542645,kpersonas
baseline,2011,hotspot,España,"Madera, papel e imprenta",co2eq,1.923919847616697,Mt CO₂eq
baseline,2011,hotspot,España,"Madera, papel e imprenta",materials,0.12577967331330756,Mt
baseline,2011,hotspot,España,"Madera, papel e imprenta",energy,8798.544297027622,TJ
baseline,2011,hotspot,España,Productos químicos,output,118514.05760311338,M€
baseline,2011,hotspot,España,Productos químicos,value_added,48344.188411665345,M€
baseline,2011,hotspot,España,Productos químicos,employment,278.5791055531733,kpersonas
baseline,2011,hotspot,España,Productos químicos,co2eq,41.47992016108969,Mt CO₂eq
baseline,2011,hotspot,España,Productos químicos,materials,0.2277665959476188,Mt
baseline,2011,hotspot,España,Productos químicos,energy,296285.14400778344,TJ
baseline,2011,hotspot,España,Refino y combustibles,output,114733.76154188944,M€
baseline,2011,hotspot,España,Refino y combustibles,value_added,22946.75230837789,M€
baseline,2011,hotspot,España,Refino y combustibles,employment,283.6245672215019,kpersonas
baseline,2011,hotspot,España,Refino y combustibles,co2eq,68.84025692513366,Mt CO₂eq
baseline,2011,hotspot,España,Refino y combustibles,materials,0.09746546938957125,Mt
baseline,2011,hotspot,España,Refino y combustibles,energy,458935.04616755777,TJ
baseline,2011,hotspot,España,Plásticos y caucho,output,82402.9153053375,M€
baseline,2011,hotspot,España,Plásticos y caucho,value_added,32474.686182205183,M€
baseline,2011,hotspot,España,Plásticos y caucho,employment,481.85851774777734,kpersonas
baseline,2011,hotspot,España,Plásticos y caucho,co2eq,3.855843341072857,Mt CO₂eq
baseline,2011,hotspot,España,Plásticos y caucho,materials,0.06479548752641599,Mt
baseline,2011,hotspot,España,Plásticos y caucho,energy,14343.692952387184,TJ
baseline,2011,hotspot,España,Acero y metalurgia primaria,output,144085.56888347416,M€
baseline,2011,hotspot,España,Acero y metalurgia primaria,value_added,36021.39222086854,M€
