scenario,year,analysis,region,sector,indicator,value,unit
esc_eficiencia_energetica_20,2011,hotspot,España,Agricultura y pesca,output,104429.59232231394,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Agricultura y pesca,value_added,36121.51652594879,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Agricultura y pesca,employment,1879.732661801651,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Agricultura y pesca,co2eq,3.449624219191845,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Agricultura y pesca,materials,0.25766027598875446,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Agricultura y pesca,energy,19048.831589145644,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Minería y extracción,output,82357.29149000367,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Minería y extracción,value_added,31862.630678410398,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Minería y extracción,employment,290.23408770603373,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Minería y extracción,co2eq,2.8675481496086643,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Minería y extracción,materials,0.1780669352293234,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Minería y extracción,energy,8900.57801061231,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Alimentación y bebidas,output,167853.43686700345,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Alimentación y bebidas,value_added,54806.818934235256,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Alimentación y bebidas,employment,538.1462354156924,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Alimentación y bebidas,co2eq,6.509731006280805,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Alimentación y bebidas,materials,0.379837799338632,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Alimentación y bebidas,energy,14602.632817913738,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Textil y calzado,output,71848.03363734928,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Textil y calzado,value_added,30786.31787586021,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Textil y calzado,employment,324.8343270804651,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Textil y calzado,co2eq,1.981486455979067,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Textil y calzado,materials,0.17615863102497828,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Textil y calzado,energy,8173.868211668501,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,"Madera, papel e imprenta",output,76355.53919500225,M€
esc_eficiencia_energetica_20,2011,hotspot,España,"Madera, papel e imprenta",value_added,31594.236912076733,M€
esc_eficiencia_energetica_20,2011,hotspot,España,"Madera, papel e imprenta",employment,263.21666625542645,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,"Madera, papel e imprenta",co2eq,1.923919847616697,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,"Madera, papel e imprenta",materials,0.12577967331330756,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,"Madera, papel e imprenta",energy,8798.544297027622,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Productos químicos,output,118514.05760311338,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Productos químicos,value_added,48344.188411665345,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Productos químicos,employment,278.5791055531733,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Productos químicos,co2eq,41.47992016108969,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Productos químicos,materials,0.2277665959476188,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Productos químicos,energy,251842.3724066159,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Refino y combustibles,output,114733.76154188944,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Refino y combustibles,value_added,22946.75230837789,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Refino y combustibles,employment,283.6245672215019,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Refino y combustibles,co2eq,68.84025692513366,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Refino y combustibles,materials,0.09746546938957125,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Refino y combustibles,energy,458935.04616755777,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Plásticos y caucho,output,82402.9153053375,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Plásticos y caucho,value_added,32474.686182205183,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Plásticos y caucho,employment,481.85851774777734,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Plásticos y caucho,co2eq,3.855843341072857,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Plásticos y caucho,materials,0.06479548752641599,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Plásticos y caucho,energy,14343.692952387184,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Acero y metalurgia primaria,output,144085.56888347416,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Acero y metalurgia primaria,value_added,36021.39222086854,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Acero y metalurgia primaria,employment,811.8246005555302,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Acero y metalurgia primaria,co2eq,100.85989821843191,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Acero y metalurgia primaria,materials,4.034395928737276,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Acero y metalurgia primaria,energy,428654.56742833566,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Acero secundario y reciclaje,output,24154.359860686603,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Acero secundario y reciclaje,value_added,9600.802258435884,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Acero secundario y reciclaje,employment,115.91263134999097,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Acero secundario y reciclaje,co2eq,6.03858996517165,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Acero secundario y reciclaje,materials,0.5313959169351052,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Acero secundario y reciclaje,energy,3110.2705281203416,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Maquinaria y equipos,output,145139.46745118912,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Maquinaria y equipos,value_added,45380.27080528483,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Maquinaria y equipos,employment,444.6318333723896,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Maquinaria y equipos,co2eq,6.968233508194144,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Maquinaria y equipos,materials,1.451394674511891,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Maquinaria y equipos,energy,25788.735611075976,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Equipos electrónicos,output,124753.73229666395,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Equipos electrónicos,value_added,45207.148489603715,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Equipos electrónicos,employment,733.1409459048818,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Equipos electrónicos,co2eq,4.053830820228606,Mt CO₂eq
esc_eficiencia_energetica_20,2011,hotspot,España,Equipos electrónicos,materials,0.3009680228116636,Mt
esc_eficiencia_energetica_20,2011,hotspot,España,Equipos electrónicos,energy,12479.957977848077,TJ
esc_eficiencia_energetica_20,2011,hotspot,España,Vehículos y partes,output,138982.5713283841,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Vehículos y partes,value_added,42562.318131570064,M€
esc_eficiencia_energetica_20,2011,hotspot,España,Vehículos y partes,employment,710.8963548866468,kpersonas
esc_eficiencia_energetica_20,2011,hotspot,España,Vehículos y partes,co2eq,7.406435715013894,Mt CO₂eq
